time [ms]	Pressure [Hgmm]	illuminance [lux]
7.97 	 16.20 	 -0.92
8.00 	 20.40 	 -0.97
8.03 	 16.20 	 -0.91
8.05 	 20.30 	 -0.77
8.07 	 16.30 	 -0.62
8.10 	 20.00 	 -0.51
8.12 	 17.30 	 -0.44
8.15 	 20.30 	 -0.39
8.18 	 17.60 	 -0.33
8.20 	 21.20 	 -0.23
8.22 	 18.10 	 -0.10
8.25 	 20.00 	 0.06
8.28 	 18.70 	 0.23
8.30 	 18.80 	 0.36
8.32 	 18.60 	 0.45
8.35 	 21.00 	 0.48
8.38 	 18.40 	 0.46
8.40 	 22.50 	 0.41
8.43 	 18.30 	 0.38
8.45 	 22.10 	 0.38
8.47 	 18.30 	 0.43
8.50 	 22.90 	 0.51
8.53 	 19.00 	 0.57
8.55 	 23.00 	 0.57
8.57 	 20.00 	 0.50
8.60 	 22.10 	 0.35
8.62 	 21.00 	 0.14
8.65 	 21.50 	 -0.11
8.68 	 21.10 	 -0.36
8.70 	 21.10 	 -0.58
8.72 	 20.80 	 -0.73
8.75 	 23.90 	 -0.76
8.78 	 20.60 	 -0.69
8.80 	 24.10 	 -0.54
8.82 	 21.20 	 -0.37
8.85 	 25.50 	 -0.21
8.88 	 21.60 	 -0.09
8.90 	 24.60 	 -0.03
8.93 	 21.80 	 -0.02
8.95 	 26.20 	 -0.02
8.97 	 22.30 	 -0.03
9.00 	 24.80 	 -0.02
9.03 	 23.30 	 0.02
9.05 	 23.10 	 0.08
9.07 	 23.10 	 0.17
9.10 	 24.30 	 0.27
9.12 	 22.30 	 0.36
9.15 	 26.60 	 0.45
9.18 	 22.50 	 0.53
9.20 	 26.80 	 0.60
9.22 	 23.50 	 0.65
9.25 	 27.10 	 0.65
9.28 	 22.60 	 0.59
9.30 	 27.00 	 0.47
9.32 	 24.20 	 0.30
9.35 	 27.20 	 0.11
9.38 	 24.80 	 -0.07
9.40 	 26.80 	 -0.24
9.43 	 25.50 	 -0.36
9.45 	 25.50 	 -0.44
9.47 	 25.30 	 -0.46
9.50 	 27.00 	 -0.45
9.53 	 24.90 	 -0.43
